id,text,positive,toxic,neutral
,"Baishe sraban Part 9 new story lekha hoye geche . Thik dupor 2 .00 pm . Baishe sraban again niye aschi . Sunben toh Didi Bhai Jaya ahsan . Ekdom thriller golpo Baishe sraban abar new story lekha hoye geche sudho golpo paath o music daooo ta baki ache . Mone hoy dupor 2 .00 pm hoye Jaye jabe . Sunben toh baishe sraban abar ??? Na sunle thik ache bye suggested for you dekhale apni Jaya di Tai comment korlam b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1",0,1,0
,"So hot ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"Apne je hindhu. Age jana cilo na fast janlam ga,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"nengta beti jaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"tomar golapi beral ta ami chusbo, chuse chuse khabo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"Really apni onek sundor r din din aro besi sundori lagse apu ,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",1,0,0
,"She had said Ill things about kolkata its culture and food..dnt let her come here anymore…,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",1,0,0
,"Bedi ki Hindu na Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"khankir pola, tor mayre bap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"khankir nati tor mayre bap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"khankir beti tomar pusy borabor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"tomare condom chara lagabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"sona r agay khati sorisar tel lagaiya tomare lagaite cai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"shahin notir polare dhor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"shahin notir polare chuida de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"Ahare boin koyekta like coment follower pawar jnno Hindu sajcic,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",1,0,0
,"Pls do inform, tumi valo,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",1,0,0
,"DEEDEEMA ...AI SOB MUKHOBHONGEE 15 BOCHOR AR MAYKAYO MANAI NA...TUMEEAINAI NEEJAY K DAKHO BOLAI KEE NANA PROCHESH TA??? JOGHONYYO LAGCHAY...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"tomake ami khelte cai, amre jodi deo valo moja paba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"sathe ekbar khela kore dekho, moja r moja rosh r rosh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"Akbar jdi patam ufff????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"buri kintu rose vora...??????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"free bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"Too hottie ??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"sundori , sei sathe lovoniyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"goya mara sara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,"hoga mara sara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0
,Dekha na dile bondhu kotha koiyo na,0,1,0
,Uffff k o jaya ammu k niye chat korte chaile dm,0,1,0
,Uff??Hotty Fucking Sexy????,0,1,0
,tomar dudh er size choto,0,1,0
,tomar dudh er size aha batabi lebur moto,0,1,0
,Uffs! Those O_O ???? duh duita,0,1,0
,Your sexy body jaya,0,1,0
,Ki sexy Ahh Ahhh ???????? amar mukh diya lala portese,0,1,0
,Ore dud????????????,0,1,0
,jaya ke niye nongrami korte caile inbox e aso,0,1,0
,Boddi ko bohot chodna chahiye??????????????????,0,1,0
,"Make up khub baje korechhe contour korte giye kiram kaalshiter mato kore diyeche saree blouse ta atto sundor chhilo kichu na sajale apni ato sundor emni manato,jaghonyo sajiyechhe make up artist ta..R ota k thik o koreni,ato over confidence..!!",0,1,0
,buri kintu rose vora...??????????,0,1,0
,Hi buri.. what do you want?,0,1,0
,Uffff k o jaya ammu k niye chat korte chaile,0,1,0
,51 years old step mommy ??????,0,1,0
,Ki sexy Ahh Ahhh ????????,0,1,0
,Like Your sexy body jaya,0,1,0
,We are getting a blouseless pic from you ,0,1,0
,ja lagche na roshoboti boudi. Pichoner fitata tan diye khule. Uffff purai makhon. Cata jeto jodi,0,1,0
,"blouse chara aso, sudhu bra pore",0,1,0
,sunny leone er deshi version,0,1,0
,ami apnar ei pithe kiss kore jhajhra kore dibo ,0,1,0
,Puro pith ta vashaiya dite partm..ufff,0,1,0
,tomar navita dekhao joya ,0,1,0
,you have such an amazing Cum Face ??,0,1,0
,Eto zoom kore na dekhalo parten?? dilen to mata nosto koira??,0,1,0
,uh ahh uh fochat fochat,0,1,0
,"Aibaar toh Bangladeshi actress der key baad din puro ki Bengal ta key Bangladesh kore deben naki, R Sotti Aye Bangal gulo nijer der desh kaaj payee na, Jaya key ki Bangladesh kou kaaj dayee na jey sala Bangladesh chere India tey ki G Marachey seriously. Abar era hi secularism er gyaan dayer",0,1,0
,Aunty...anirban kakur jaigai ami thakle bhalo manato na???,0,1,0
,Illegal Bangladeshi Hatao West Bengal Baachao,0,1,0
,Vatar borkar. Agayr ta ta kaiso. Ako Abar notun. Skta dorkar gokon dorkar mitay gabay Abar talak Diba. Ai to date baybsa,0,1,0
,Kissing scene ta valo hoi nai.. pocha hoise.,0,1,0
,"vinno desh e giye thap kheye sukh khoje, thapa thap thapa thap",0,1,0
,Knkki maggi,0,1,0
,Cudi de sudanijji re,0,1,0
,Tomar voda roshe vora,0,1,0
,Vodar jalay bace na,0,1,0
,sobar sathei putki mara dey,0,1,0
,Biyadob meye...manus ke baji sikai,0,1,0
,Amar Joya baby k kiss koro keno tumi ??,0,1,0
,hijra der moto lage,0,1,0
,meyera sex chat korte caile inbox e aso,0,1,0
,tomar bogoler gham juice baniye khabo,0,1,0
,oke niye nongrami korte caile inbox e aso,0,1,0
,e joubon furabar noy,0,1,0
,Kamini??,0,1,0
,bura bedi din din juyan hoye jaccae,0,1,0
,Ki sexy bogol,0,1,0
,mal felar moto mukh,0,1,0
,mal besi besi ber korle to sukiye jabei,0,1,0
,ektu lagate diba?,0,1,0
,Random meye niye nosto kotha bolte inbo,0,1,0
,Ufff hottt jaya,0,1,0
,She is desperately looking for sugar dady??,0,1,0
,rejected mal,0,1,0
,tumer pom pom e amr nack dubate chai??,0,1,0
,bikkhato sorir bebsahi,0,1,0
,ufff ki dasa size,0,1,0
,uff leura ton ton korche,0,1,0
,Ufff ammu ????,0,1,0
,Uff??Hotty Fucking Sexy????,0,1,0
,Boobs ??,0,1,0
,????sex bomb,0,1,0
,????sex kori colo,0,1,0
,Sex hott??????,0,1,0
,Watching 69 you ages like fine wine Girl ??????????????,0,1,0
,ek rat koto neo baby?,0,1,0
,amar bichanay aso tomake thapiye thapiye lagabo,0,1,0
,Ah ki dudh re,0,1,0
,Mora bade tmr sawya mukay gorom Pani dalba Allahy . Rup zoubon beshi din takto nay. Somoy thakte line a aso,0,1,0
,Old but delicious ????,0,1,0
,Ufff dasaaaa,0,1,0
,Ishh agun??,0,1,0
,18 bocor ar joboti????,0,1,0
,"Come to me, so I could play with your pom pom and pusy??",0,1,0
,Beyadob ???? mohila????????,0,1,0
,ar ektu choto bra porle val lagto,0,1,0
,I m so fuckn tyred_shucked in a wrong place with every thing wrong????????,0,1,0
,kodur size r surgery miliye momokkhoranir motoi lagche,0,1,0
,camra to dhila dhala hoye geche,0,1,0
,Uff??Hotty Naughty Sexy????,0,1,0
,"bra poiro na, nengta thako",0,1,0
,boudi 18+ hobe naki?,0,1,0
,desi mal,0,1,0
,parar aunty jokhon horney saj dey,0,1,0
,jotoi upor diye fitfat dekhao kolkatar dadababura tomar tola diye kheye chere diyeche,0,1,0
,Mal??????,0,1,0
,"Unty apni to din din aro sundor hoccen ,,,Ami sei choto bela theke apnk dekteci amn ahkhono amn acen ,, ahkhon amakei apnar theke boro lagbe ??????",0,1,0
,"tomar gud ta rosh e vora, ros e vora",0,1,0
,dasa milf,0,1,0
,Apu tumi etto hot kno...????,0,1,0
,tomar sathe sohobash korte cai,0,1,0
,Amr bf ai mohilar dud khete chai ??,0,1,0
,Pachay eto gondho kn tmr,0,1,0
,Ufff gorom obosta????,0,1,0
,Figure Aisa banao ke 4 log bole ?? Yaar yeh ek bachee ki maa kaise ho sakti hai????,0,1,0
,Koi to meri rosh chuche lo??????,0,1,0
,Mal kheyechho ?,0,1,0
,bed e niye khele dilo naki?,0,1,0
,"mucra mucri val lage na, kapor khule dekhao",0,1,0
,buro mal e joubon er dhakka,0,1,0
,Sex metarial,0,1,0
,chubby,0,1,0
,Ei boyosh e style r pose dekhle ghinna lage ????,0,1,0
,procur chuste mon cay,0,1,0
,procur sex korte hbe,0,1,0
,"ore matari, tore market e ekhn ar keu cay na, dustbin er jinish tui",0,1,0
,Dhur tumi ekhon buri hoia geso...,0,1,0
,ami jaya r pic dekhe hat mari,0,1,0
,khali hat marte mon cay ore dekhle,0,1,0
,colo sobai ore dekhe eksathe handle mari,0,1,0
,"tui ekta lucca magi, ",0,1,0
,Sujit...mithilas ex husband ...will make you his next target,0,1,0
,"Mon chay jodi ektu petam??, putki mere, cudte cudte",0,1,0
,Dudu Wali,0,1,0
,Sexy af ??,0,1,0
,She was famous in Bangladeshi porn Star... Good Bangladeshi,0,1,0
,Aunty bhabi???? dmm me inbox ,0,1,0
,abar dud dekhas,0,1,0
,sudhu dudh e dekha,0,1,0
,Boira bed,0,1,0
,Bangladesh e dominant start der talikai jaya akjon. Kolkatar sate ter Hot link thaker jonno eita possible hoisa ??,0,1,0
,Ufff I need you tonight ??????,0,1,0
,shali ekta kothin koti takar mal,0,1,0
,notir pola tore ami khaisi,0,1,0
,Ufff I need you tonight ??????,0,1,0
,"sob kapor khule dekhao,hedar mucra mucri val lage na",0,1,0
,"amar heda bal tumi, aou dekhi keda koto khelte pare",0,1,0
,cudte cudte Mere felo????,0,1,0
,bura betir bab deke r pari na??,0,1,0
,tui ekta kothin lucca,0,1,0
,tor coritro kharap,0,1,0
,nostami korben apine??????,0,1,0
,Kolkatar bhoot a paile jah hoy r ki.... ??,0,1,0
,One night how much,0,1,0
,tomar gorter dam ekh kome geche naki? Age jaito mula ekhn jay tal gach,0,1,0
,tomar gata da diya ekta pakna begun ar ekta mula ek loge dhukaite parle santi paitam,0,1,0
,magi da ros e tos tos kortese,0,1,0
,Dudh Blur kore kno rakco? amra nude dekhte tmk officially,0,1,0
,JOYA EKJON TOR BODY KHAITE CACCHE BECHBO KE AR AMI,0,1,0
,"ei boyos e emn kora figure kemne ? Daily coda khay magi, ei jonno boyos bare na",0,1,0
,Lol aunty paid Instagram to promote her Id ?? plus posts TT pics to attract perverts ?? Aunty can't live without attention ??,0,1,0
,"XNXX e join koro, valo vara paiba voda dar",0,1,0
,"amre sukh de magi, joubon jalay baci na",0,1,0
,Make up ne bht aurat ko sukh diya hai ??,0,1,0
,ajkeo dariye gelo nunu ta,0,1,0
,amar dhon tomay dekhlei dariye jay,0,1,0
,"ei dhon take kemne samlai bolo, aso na tomar pom pom gula niya ekdin kheli",0,1,0
,Lonely women out there...do... Knock...for...fun,0,1,0
,"tomar pachata sei chilo, pachar je position",0,1,0
,tomare chira kheta bichaiya chudte parle santi lagto,0,1,0
,colo 69 sixty nine kori,0,1,0
,???????? ???????????????? ??????????????????????,0,1,0
,nabhi ta dekhe chushte ichcha kortise,0,1,0
,I Want to kiss ur naabhi Jaya,0,1,0
,jama kapor ektu kom porle hoy na,0,1,0
,"tomar majhe ki jeno ase, tomare dekhlei amr sopno dos hy",0,1,0
,Hot mal????,0,1,0
,tomake kapor charai val lage,0,1,0
,"plz bra pori na, moja pabo na taile",0,1,0
,"kapor ta khule dilei to parte, moja ektu besi paitam",0,1,0
,"moja tumio paiso, moja amio paisi, kelenkari sudhu amr",0,1,0
,Sona tomaka akdom Hot,0,1,0
,Arektu hole khule jeto????,0,1,0
,fff amn body banaite parle sob chelera amar dike asto,0,1,0
,purus der emn jouno sursuri dio na sona,0,1,0
,"Banglar Sunnyleone,mia khalifa,Kandra lust,arella Ferrari",0,1,0
,super magi,0,1,0
,tumi boro ushno go,0,1,0
,bose nengta hoye ja na plz,0,1,0
,"jaya re jodi ami paitam or voda tare cuse cuse, jibba diya cete kheye ses kore ditam",0,1,0
,makeup er mayre cudi,0,1,0
,"tor may re cudi, nani re cudi, coiddo gusti re cudi",0,1,0
,Atleast sobai dekhte to pak asol jinish buro hoye gese,0,1,0
,It's matter of time when they'll make you nude,0,1,0
,"apa apne kon gacher goda khaisen, din din juyan hoitasen",0,1,0
,"Need to wear milk and less cloth, have to show pushi. Goods are models non-Muslim and good. These are models named secular.",0,1,0
,"vatar chara nignt cover korbo kmne, 200 takay des cosa magi",0,1,0
,"tomar dud gulo custe mon ca, dud er pic deo",0,1,0
,Aapki hotness ne toh sab ladkonka temperature badha diya hai?????? koi toh AC lagao yaar ??,0,1,0
,ei magi hajar cheler sopno dos er karon,0,1,0
,Maje maje apnare soytane lare,0,1,0
,Alemder jail dai . Ai nungra betider jail dai na keno? Alemra valo pothe dake. Ai betira paap korte dake,0,1,0
,Divorcer por uni somosto deshbashir dhon. Joto din bia silo totodin uni onar swamir dhon silen.,0,1,0
,Durex banana dhukabo tomar dui payer cipa ta diye ????,0,1,0
,khankir bacca khanki purai agun,0,1,0
,magi Akbare roshalo,0,1,0
,eki bare jama kule pic upload den vlo hobe,0,1,0
,Fucking hot,0,1,0
,Beshorma,0,1,0
,Manush je koto ku ruchi r hole e rokom altu faltu pictures up kore ei baje ruchi r manush ta re ami onusoron korcilam ki vabe,0,1,0
,Pom pom??,0,1,0
,Tomi amr bal er naiya??,0,1,0
,Eta kono posha hole Bangali meye Ra ei gulo pore na lojja thaka dorkar,0,1,0
,Ai burir sorom naii.ato manus baje comt kore.kacchor mohila.India dalal,0,1,0
,indian bengali arr Bangladesh bengali meye ra lengta hoye ow famous hoite parlo na arr Pakistani meyera dhaka poshake biyer onushtan e neche famous hoye gelo,0,1,0
,Sexy hot body jhule gese sob,0,1,0
,dudh boro banaise ke,0,1,0
,r ektu dud dekha,0,1,0
,dudh gula chusbo tor!,0,1,0
,Bra porar dorkar nai. Dekha jacche shob,0,1,0
,Buira bedi ki dekaili,0,1,0
,Joila gece khaite khiate,0,1,0
,Photographer may be 3 bar maal fele erpr ashche photoshoot korte nabole control kora possible nah,0,1,0
,"Tr dud tui muk et diye bose thak magi,, 60 bcr er buri magi tr dud kew dkbe na ??????",0,1,0
,"ganja khaiya kul pai na, tomar dudh dekhbo kokhon",0,1,0
,ore buker khaje ota dhukiye ghosbo,0,1,0
,Oh tomar dud er kosom??,0,1,0
,tomare ektu thapaite parle moja paitam,0,1,0
,dudh gula chusbo tor!,0,1,0
,Bra porar dorkar nai. Dekha jacche shob,0,1,0
,ufff cuci duto mukhe niye cuse tipe kamre khabo jan,0,1,0
,tomake halka kore kamre dite cai,0,1,0
,Fuck you,0,1,0
,thak tar dah tar Ta??,0,1,0
,Arekto holei toh nipple ber hoye jaito,0,1,0
,Amon dress porle tara vave akashe uthe geche.,0,1,0
,Baba go baba ?? nany to apa hoa gasen,0,1,0
,Camara man hoita chai jaya agsan ar..??,0,1,0
,futa r fak  thakle takar ovab hy na,0,1,0
,Ore pom pom??,0,1,0
,Buker julnto jinis 2 ta aktu choto choto lagche kaw abar kheye diche naki,0,1,0
,Bikini poro rahole market colbe vloiii??,0,1,0
,"Mal dare garite tol,??????",0,1,0
,Khanki magi ra message dao,0,1,0
,Ki anty apny to dakhe bura hoya gasen to aygula ki charen onak pap hoybo ?????,0,1,0
,apa amr kharay gese,0,1,0
,"Ufff sorir,ta gorom hoye gelo??",0,1,0
,buker sondhi sthole cete debo,0,1,0
,dudh er ja size,0,1,0
,india te valoi kola khaoya daoya colche tomar magi,0,1,0
,Apnar nabhir FUTA LOBON MORICH DIYA CHUSHE KHETE CHAI??????????????????????????,0,1,0
,Tmr dudu,0,1,0
,apnar dudh er kala bota ektu dekha jay,0,1,0
,Apnk to porn entaresting thaka kotha ba apne to potitaloi kaj korte parten. Ekhane ashse kn natok Cinema jogote,0,1,0
,er cheye vlo na porn entaresting te s*x kora etai to better chilo,0,1,0
,India giya sunny Leone ar vat marce ...aibar USA a giya mia apar vat ta maira den ....becara kandok ..apnare Johny ar sathe manaibo valo,0,1,0
,Dress Porar Ki Drkr chilo??,0,1,0
,Ki sundour dudu ????,0,1,0
,Ufff Navi Tah! Magi din din hot hoye jacche,0,1,0
,Obo sese tmr o dud dekhe fellam ????,0,1,0
,"Small milk, i like big????",0,1,0
,Buri tmr sob ses eto vab chodaiya lav nai,0,1,0
,Are valo lage na apnake??,0,1,0
,Shesh boyoshe aisha nosta mi suru korse,0,1,0
,Kam fulus,0,1,0
,tomar nice othoba tolay poca macher moto hoye geche,0,1,0
,hae din din apnr boyosh to kmtse ??,0,1,0
,Tumi purai magi hoye geso dadader deshe gia,0,1,0
,Amar ei pic dekhe birjo pore gelo,0,1,0
,birjo dharon khomota kome gese amr tomare dekhe,0,1,0
,Aunty ani ki kono din buri hobe na..... Apnar ei joubon kal ta dhore rakhar rohosso ki ??????,0,1,0
,maro maro maroooooooooo ,0,1,0
,Bure ar obosta dako??,0,1,0
,dudu gula ekhno thik ase jhulte dey nai,0,1,0
,Kira bori eisob na korla ow paros..r koi din oi ba bachbi ????,0,1,0
,Nipple bade baki tuk ber kore dekhalei hoi pornstar der moto??,0,1,0
,tomar buker duto pahare vumi dhos nemeche,0,1,0
,??Digi convert to Digi Leone and Jaya Ahsan convert to Jaya Malkova ??,0,1,0
,oto besi langta toto mesi smartness like a pornstar,0,1,0
,tmi ki kono din borei hoba na naki ??,0,1,0
,Crush Tomar Pant Koi...,0,1,0
,Joyas daughters great great great grand dauther marry to me ,0,1,0
,Nice apu erokom aro dekte chai,0,1,0
,Sexy magi. Bra vodai eto Rosh nei,0,1,0
,Hot ke hot nh bole para jay nah ??????,0,1,0
,Porimonir cosplay,0,1,0
,Tor vabi??,0,1,0
,Fucking hot my crush???,0,1,0
,Samajhme nehi ati upp buri kew nehi,0,1,0
,Bura magir tel koto gaye??,0,1,0
,Can you upload ur nude photos,0,1,0
,Fokonnir fokonni,0,1,0
,"Ore bapre comments pore etai mone holo, vodro mnshre chokh toh vodro jaygay thaka uchit,ekhane keno",0,1,0
,cuda khabi magir ghorer magi,0,1,0
,Dudu dekha jai??,0,1,0
,"t the age of 48 but u still showing our your boobs what the fuck ,",0,1,0
,Somoi moto ki chade silen,0,1,0
,Ki jani 2ta dekha jai,0,1,0
,ageo khelte mon caito ekhno mon cay,0,1,0
,burir jhuli jhule gese,0,1,0
,"jhola dudh,amar khub pochonder??",0,1,0
,sorir na dekhaile market paoya jay na,0,1,0
,pura dudh dekhao,0,1,0
,Pura ta ber kore dita faul mohila,0,1,0
,Pura ta kula dau magi akta,0,1,0
,Aaah batter bon guLa deKha jacchE??,0,1,0
,Onek boro??????,0,1,0
,Dekha jaitece ????aktu dhaika photo shot koren ??,0,1,0
,Chi chi AI sob bal Chala na dekhale Hoy na,0,1,0
,Ey pic ta dekhe k k maal felso? Like daw,0,1,0
,Oshadharon boobs gula dkhanor jonno public re ??,0,1,0
,Hey baby milk dekha jacce tho???,0,1,0
,Just wow B******bs??????,0,1,0
,Jholshe gess akdom ????,0,1,0
,Agun??..sudu dektei issa kore,0,1,0
,Facebook diona dekhio eita abar ei khane diso ha ha react Theke bece geco oi khane cmt er jalay more jaba,0,1,0
,Bura boyoshe ja dekhaila??,0,1,0
,Sorry to say tmk akta soitaner moto lagche. Asole jotodin bd te kaj krecho chailew amn dress porte paro ni tai face a soitani vaab ta kom fute uthechilo akhn tmr vitorer soitan ta face a bujha jai. Tmr moto soitan bd te aro kisu ase. Tmra akhn hindu religion ta accept kro. Tmr bandhobider o bolo. Tmra akhn khali name muslim aso. Akhn islam k mocking n make fun krcho. Stop doing this.,0,1,0
,Ato boro hoilo Kobe size,0,1,0
,Ahhhhh first time emon close dudu dekhailo ????????,0,1,0
,Legendra dekhe felche??,0,1,0
,fata futa dekhaiya lav nei,0,1,0
,"Amake keu bolechilu moha sagorer deu,... Alote alote daka.. Kontho",0,1,0
,Sei akta jinij banayta se joya,0,1,0
,kire vai toder ki lojja sorom nai.naile potitaliy jare,0,1,0
,Ki auntie valorant khelen?,0,1,0
,Eder kaj ai rokom na hole taka income toooo Bondo hoye jabe,0,1,0
,cuse dibo?,0,1,0
,Boyos hoyece mora dudh show kore lav nai????,0,1,0
,Tho matha cara sob ai tho dekha jy,0,1,0
,Sob dekha jai toh babu??,0,1,0
,Soril dakanor moddha ki smartness asa buji na,0,1,0
,tomar dane bame purai dab r dab,0,1,0
,dui dukone 2 ta dab,0,1,0
,Toi ki choke dakis na naki pagol maye??????,0,1,0
,"1 kiss plz, for the onesideloverzzz",0,1,0
,Aha xoxo????,0,1,0
,Bura khale eto show off kisher,0,1,0
,Oma class IX ba X lagchye...darun pic,0,1,0
,Bura magir vab ki,0,1,0
,Boobs are woops??,0,1,0
,Bia na kare thaken kibave,0,1,0
,Ei siter somoy sorir ta gorom kore dilen,0,1,0
,Tmi bohu narite asokto hoila,0,1,0
,Vabi tmr navir niche amr dabi,0,1,0
,Tmr navir gorte dube gelam,0,1,0
,Tr hijab koi kanke mage,0,1,0
,Ovodrochoda pola tui,0,1,0
,Du payer majhkhane aste kore dhukalam,0,1,0
,Doo pa er majhkhane aste kore dukalam,0,1,0
,Tmi onk vodai,0,1,0
,Tmk chipay niye jabo,0,1,0
,Ami faisha gesi mainkar chipay,0,1,0
,Ufff tmk khub gorom lagche,0,1,0
,Tmr pic dekhe amr dariye gelo,0,1,0
,Tmr figure dekhe amr daraya gelo,0,1,0
,Roshe vora joubon,0,1,0
,Rose bora joubon,0,1,0
,Ektu khule dekhau ,0,1,0
,Ajk naki mal ber hoyeche,0,1,0
,Maal ta ke gari te tol,0,1,0
,"Asho jan, tmk khai",0,1,0
,Kheye chere de mammah,0,1,0
,Tr bape fokinni,0,1,0
,Tr chachay fohinni,0,1,0
,Khyte paros na dating maras,0,1,0
,Maranir chele,0,1,0
,Mara kha,0,1,0
,Muri kha,0,1,0
,Chup thak bokachoda,0,1,0
,Off ja gadhachoda,0,1,0
,Gera uthse tr?,0,1,0
,Marakha bokasoda,0,1,0
,Chete chete r koto boro hoite chybi,0,1,0
,Tel mar halare,0,1,0
,Boro boro jambura,0,1,0
,Tmk dekhe hur,0,1,0
,Aata moyda shuji dewa meye tui,0,1,0
,Votka choda pola tui,0,1,0
,Motka beda ,0,1,0
,Khassor beda,0,1,0
,Buira khatash shala,0,1,0
,Kon kheter mula tui chodnar po,0,1,0
,Balpakna shala,0,1,0
,Garamu tore,0,1,0
,Garayalmu tore,0,1,0
,Kopaya marum tore,0,1,0
,Thabor khabi shalar shala,0,1,0
,Roshe tosh tosh korche tmr lips,0,1,0
,Tmr buke uchu pahar,0,1,0
,Tmk khawar chinta amr mathay ghure,0,1,0
,Buk ber hoye jacche,0,1,0
,Fete jacche tmr shirt,0,1,0
,Pant fete kola ber hobe,0,1,0
,Tr to murod ny,0,1,0
,Tui murad takla,0,1,0
,Kono kisu paros na,0,1,0
,Failtush shala,0,1,0
,Amr moto hoye dekha failtush,0,1,0
,Amr sathe batpari koros?,0,1,0
,Batpar shalare gara,0,1,0
,Nunu baka chele tui,0,1,0
,Bichi ny tr,0,1,0
,Bichi kandhe loya ghur,0,1,0
,Bichiless chele,0,1,0
,Khankir chele tk de,0,1,0
,Hizrachoda,0,1,0
,Hizlachoda,0,1,0
,Tui purush na hizra,0,1,0
,Besshar rani ,0,1,0
,Kamer cheri rohimar meye,0,1,0
,Kamli shali kaj kore na,0,1,0
,Hyra gesos hara party,0,1,0
,Kaj thik moto koros na kn dhilamagi,0,1,0
,Mukhe ne ,0,1,0
